City,Car_Name,Price,KMS,Fuel,Transmission,Location,Emi
Bangalore,2019 Honda Amaze1.2 S MT Petrol,5.65 Lakh,35.5K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹9,621/m*"
Bangalore,2018 Maruti BalenoAlpha 1.2 AT,6.58 Lakh,71.5K km,petrol,automatic,"VR Mall, Whitefield Road","EMI ₹11,205/m*"
Bangalore,2022 MG HectorSharp 1.5 Petrol Turbo Hybrid MT Dual Tone,13.95 Lakh₹14.39 Lakh,43K km,hybrid,manual,Bellandur,"EMI ₹24,748/m*"
Bangalore,2021 Tata PunchCreative iRA Pack MT,7.03 Lakh,30K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹11,971/m*"
Bangalore,2011 Hyundai i10Era 1.1 iRDE2,2.43 Lakh,36.5K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹17,363/m*"
Bangalore,2021 Mahindra XUV 3001.5 W8 AMT,8.80 Lakh₹8.93 Lakh,70.5K km,diesel,automatic,Mysore Road,"EMI ₹15,207/m*"
Bangalore,2015 Maruti CelerioZXi,3.27 Lakh,102.5K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹5,952/m*"
Bangalore,2016 Mahindra TUV300T8 mHAWK100,6.21 Lakh,59.5K km,diesel,manual,Mysore Road,"EMI ₹10,575/m*"
Bangalore,2020 Kia SeltosGTX Plus 1.4,13.76 Lakh₹13.86 Lakh,17K km,petrol,manual,Yelahanka,"EMI ₹23,837/m*"
Bangalore,2020 Hyundai New Santro 1.1Sportz AMT,5.29 Lakh₹5.36 Lakh,29K km,petrol,automatic,"VR Mall, Whitefield Road","EMI ₹8,557/m*"
Bangalore,2021 Nissan MagniteXV Premium Turbo Dual Tone,7.28 Lakh,46K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹12,397/m*"
Bangalore,2021 Kia SeltosGTX Plus AT 1.5 Diesel,15.56 Lakh₹15.74 Lakh,32K km,diesel,automatic,Yelahanka,"EMI ₹27,070/m*"
Bangalore,2024 Mahindra XUV 3XOMX3 Pro 1.2 Petrol AT,11.29 Lakh₹11.63 Lakh,18K km,petrol,automatic,Bellandur,"EMI ₹20,000/m*"
Bangalore,2018 Ford FreestyleTitanium 1.5 TDCI,5.70 Lakh,79.5K km,diesel,manual,Mysore Road,"EMI ₹12,233/m*"
Bangalore,2017 Datsun Redi-GOS,2.45 Lakh,50.5K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹9,318/m*"
Bangalore,2018 Honda CityZX CVT Petrol,7.85 Lakh,113K km,petrol,automatic,"Vega Mall, BTM 2nd Stage","EMI ₹13,368/m*"
Bangalore,2013 Hyundai i10Magna 1.2 Kappa2,3.39 Lakh,12K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹9,137/m*"
Bangalore,2023 Kia CarensPrestige 1.5 Petrol 7 STR,11.66 Lakh₹11.82 Lakh,15K km,petrol,manual,Yelahanka,"EMI ₹20,328/m*"
Bangalore,2022 Kia SonetGTX Plus 1.5,11.98 Lakh₹12.22 Lakh,41K km,diesel,manual,"Vega Mall, BTM 2nd Stage","EMI ₹21,016/m*"
Bangalore,2018 Maruti BalenoAlpha 1.2 AT,5.84 Lakh,63K km,petrol,automatic,Yelahanka,"EMI ₹9,945/m*"
Bangalore,2020 Kia SonetHTX Plus 1.0 iMT,9.43 Lakh₹9.62 Lakh,43K km,petrol,manual,Bellandur,"EMI ₹16,382/m*"
Bangalore,2024 Kia SonetGTX Plus 1.0 Turbo Petrol DCT,15.14 Lakh,3K km,petrol,automatic,Bellandur,"EMI ₹26,038/m*"
Bangalore,2016 Honda JazzVX Diesel,4.93 Lakh,132.5K km,diesel,manual,Mysore Road,"EMI ₹7,870/m*"
Bangalore,2021 Tata AltrozXT Petrol,6.41 Lakh₹6.56 Lakh,40K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹11,171/m*"
Bangalore,2020 Mahindra XUV 300W8 (O) 1.5 Diesel,8.95 Lakh₹9.08 Lakh,89.5K km,diesel,manual,Mysore Road,"EMI ₹15,462/m*"
Bangalore,2022 Nissan MagniteXV Premium Turbo CVT,9.11 Lakh₹9.34 Lakh,31.5K km,petrol,automatic,Yelahanka,"EMI ₹15,905/m*"
Bangalore,2022 Mahindra Scorpio NZ8 L Diesel AT 4WD 7 STR,21.60 Lakh₹21.92 Lakh,55.5K km,diesel,automatic,Bellandur,"EMI ₹37,698/m*"
Bangalore,2019 Renault KwidRXT (O) 1.0 SCE Edition,3.56 Lakh,102K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹6,062/m*"
Bangalore,2013 Hyundai i10Magna 1.1 iRDE2,3.03 Lakh,82K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹8,167/m*"
Bangalore,2021 Kia SonetHTX Plus 1.0 iMT,10.19 Lakh₹10.42 Lakh,32.5K km,petrol,manual,Bellandur,"EMI ₹17,920/m*"
Bangalore,2015 Hyundai Fluidic Verna 4S1.6 CRDi SX AT,6.57 Lakh,84.5K km,diesel,automatic,Mysore Road,"EMI ₹11,959/m*"
Bangalore,2020 Hyundai New Santro 1.1Sportz SE,4.04 Lakh,29K km,petrol,manual,Yelahanka,"EMI ₹6,449/m*"
Bangalore,2016 Maruti ErtigaVXI,6.81 Lakh,38.5K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹11,597/m*"
Bangalore,2015 Tata NanoTwist XT,1.83 Lakh,68.5K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹3,682/m*"
Bangalore,2022 Kia SonetHTX 1.0 iMT,9.69 Lakh₹9.93 Lakh,39K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹16,910/m*"
Bangalore,2022 Kia SeltosHTK Plus 1.5 iMT,12.07 Lakh₹12.21 Lakh,28.5K km,petrol,manual,Yelahanka,"EMI ₹20,999/m*"
Bangalore,2019 Hyundai VenueSX Plus 1.0 Turbo DCT,8.61 Lakh,27K km,petrol,automatic,"Vega Mall, BTM 2nd Stage","EMI ₹14,662/m*"
Bangalore,2023 Tata AltrozXZ Plus Petrol,7.42 Lakh₹7.65 Lakh,28.5K km,petrol,manual,Yelahanka,"EMI ₹13,027/m*"
Bangalore,2019 Renault Duster110 PS RXZ AMT Diesel,8.98 Lakh,73K km,diesel,automatic,Mysore Road,"EMI ₹15,292/m*"
Bangalore,2022 Renault KwidRXT 1.0,4.65 Lakh₹4.78 Lakh,20K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹8,140/m*"
Bangalore,2015 Hyundai EonMagna +,2.95 Lakh,19K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹5,034/m*"
Bangalore,2020 Kia SeltosGTX Plus DCT 1.4,12.77 Lakh₹12.91 Lakh,86.5K km,petrol,automatic,Yelahanka,"EMI ₹22,202/m*"
Bangalore,2023 Honda AmazeVX 1.2 Petrol MT,8.06 Lakh₹8.29 Lakh,24.5K km,petrol,manual,Mysore Road,"EMI ₹14,117/m*"
Bangalore,2024 Maruti Wagon RZXI Plus 1.2 AGS,7.08 Lakh₹7.31 Lakh,14.5K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹13,064/m*"
Bangalore,2018 Hyundai Grand i10Magna AT 1.2 Kappa VTVT,5.38 Lakh,21.5K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹9,161/m*"
Bangalore,2021 Maruti Alto 800Vxi Plus,3.86 Lakh₹3.93 Lakh,30K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹7,023/m*"
Bangalore,2022 MG HectorSharp 2.0 Diesel Turbo MT,16.99 Lakh₹17.21 Lakh,23K km,diesel,manual,Bellandur,"EMI ₹29,599/m*"
Bangalore,2019 Tata NexonXZ Plus,7.58 Lakh,55K km,petrol,manual,"VR Mall, Whitefield Road","EMI ₹12,908/m*"
Bangalore,2021 Renault KwidCLIMBER 1.0 (O),4.73 Lakh₹4.85 Lakh,12.5K km,petrol,manual,Yelahanka,"EMI ₹8,259/m*"
Bangalore,2021 Renault KwidRXT 1.0 AMT (O),4.56 Lakh₹4.66 Lakh,40K km,petrol,automatic,Yelahanka,"EMI ₹7,935/m*"
Bangalore,2013 Hyundai VernaFluidic 1.6 CRDi SX Opt,5.74 Lakh,58.5K km,diesel,manual,Mysore Road,"EMI ₹15,472/m*"
Bangalore,2024 Maruti FronxAlpha 1.0L Turbo 6 AT,12.11 Lakh₹12.52 Lakh,18K km,petrol,automatic,Bellandur,"EMI ₹21,525/m*"
Bangalore,2016 Renault KwidRXT 1.0 SCE Edition,3.08 Lakh,41K km,petrol,manual,Mysore Road,"EMI ₹5,245/m*"
Bangalore,2019 Ford Figo AspireTitanium 1.2 Ti-VCT,5.30 Lakh,28K km,petrol,manual,Yelahanka,"EMI ₹8,461/m*"
Bangalore,2024 Renault KigerRXT (O) AMT,7.90 Lakh₹8.13 Lakh,15K km,petrol,automatic,"Mantri Mall, Malleshwaram","EMI ₹13,844/m*"
Bangalore,2014 Hyundai Grand i10Asta 1.2 Kappa VTVT (O),4.43 Lakh,33.5K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹9,507/m*"
Bangalore,2020 Kia SonetGTX Plus 1.0 iMT,8.93 Lakh₹9.21 Lakh,67K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹15,684/m*"
Bangalore,2022 Hyundai VenueSX 1.0 Turbo,9.39 Lakh₹9.54 Lakh,5K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹16,246/m*"
Bangalore,2016 Maruti S-CrossDelta 1.6,4.94 Lakh,110K km,diesel,manual,Mysore Road,"EMI ₹8,992/m*"
Bangalore,2023 Kia SonetX Line 1.0 DCT,12.48 Lakh₹12.82 Lakh,43.5K km,petrol,automatic,Yelahanka,"EMI ₹22,048/m*"
Bangalore,2018 Maruti CelerioZXi,4.02 Lakh,100.5K km,petrol,manual,Mysore Road,"EMI ₹6,845/m*"
Bangalore,2019 Hyundai VernaSX 1.6 VTVT,8.58 Lakh,43K km,petrol,manual,Yelahanka,"EMI ₹14,611/m*"
Bangalore,2023 Hyundai VernaSX (O) 1.5 Turbo Petrol DCT,15.58 Lakh₹15.80 Lakh,16.5K km,petrol,automatic,Yelahanka,"EMI ₹27,173/m*"
Bangalore,2013 Honda Amaze1.2 S i-VTEC,3.81 Lakh,45.5K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹10,269/m*"
Bangalore,2013 Hyundai VernaFluidic 1.6 CRDi SX,5.11 Lakh,73K km,diesel,manual,Yelahanka,"EMI ₹13,774/m*"
Bangalore,2022 Hyundai New i20Asta (O) 1.2 MT,8.05 Lakh₹8.27 Lakh,40.5K km,petrol,manual,Yelahanka,"EMI ₹14,083/m*"
Bangalore,2015 Hyundai Elite i20Asta 1.2,5.62 Lakh,36.5K km,petrol,manual,Yelahanka,"EMI ₹10,229/m*"
Bangalore,2022 Volkswagen VirtusGT Plus 1.5 TSI EVO DSG,14.42 Lakh₹14.88 Lakh,53K km,petrol,automatic,Bellandur,"EMI ₹25,591/m*"
Bangalore,2021 Kia SonetHTX 1.0 iMT,7.97 Lakh₹8.12 Lakh,38.5K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹13,827/m*"
Bangalore,2021 Kia SeltosHTX 1.5,11.76 Lakh₹11.89 Lakh,57.5K km,petrol,manual,Yelahanka,"EMI ₹20,448/m*"
Bangalore,2021 Kia SeltosHTX 1.5,12.05 Lakh₹12.19 Lakh,56K km,petrol,manual,Bellandur,"EMI ₹20,964/m*"
Bangalore,2022 Nissan MagniteXL Turbo,6.33 Lakh₹6.47 Lakh,50.5K km,petrol,manual,Mysore Road,"EMI ₹11,018/m*"
Bangalore,2016 Ford EcoSportTitanium 1.5L Ti-VCT AT,5.62 Lakh,128K km,petrol,automatic,"VR Mall, Whitefield Road","EMI ₹9,570/m*"
